# Variable   : mass fraction of SA of droplets (WSAVtab)
# Units      : 
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    WSAVtab []
9.453063e-03    0.000000e+00
4.835103e-02    0.000000e+00
1.530462e-01    0.000000e+00
3.733526e-01    0.000000e+00
7.543377e-01    0.000000e+00
1.339602e+00    0.000000e+00
2.170168e+00    0.000000e+00
3.283600e+00    0.000000e+00
4.712794e+00    0.000000e+00
6.484789e+00    0.000000e+00
8.619615e+00    0.000000e+00
1.113009e+01    0.000000e+00
1.402108e+01    0.000000e+00
1.728685e+01    0.000000e+00
2.090608e+01    0.000000e+00
2.474833e+01    0.000000e+00
2.853675e+01    0.000000e+00
3.210126e+01    0.000000e+00
3.545018e+01    0.000000e+00
3.859743e+01    0.000000e+00
4.156841e+01    0.000000e+00
4.439502e+01    9.992133e-01
4.710001e+01    9.769801e-01
4.967126e+01    9.841242e-01
5.208324e+01    9.272203e-01
5.433362e+01    9.447620e-01
5.643067e+01    9.125524e-01
5.839917e+01    9.008900e-01
6.028508e+01    8.944199e-01
6.211965e+01    8.937562e-01
6.390838e+01    8.856725e-01
6.565220e+01    8.799942e-01
6.736221e+01    8.757733e-01
6.905500e+01    8.735359e-01
7.071644e+01    8.610153e-01
7.232953e+01    8.497645e-01
7.389331e+01    8.307506e-01
7.540461e+01    8.041586e-01
7.687348e+01    7.761919e-01
7.831750e+01    5.051804e-01
7.974356e+01    4.738637e-01
8.114591e+01    4.354547e-01
8.251665e+01    3.949287e-01
8.384731e+01    3.299025e-01
8.513078e+01    2.535284e-01
8.653203e+01    3.669838e-01
8.837267e+01    5.088681e-01
9.070715e+01    5.457677e-01
9.344974e+01    6.175832e-01
9.652660e+01    6.885713e-01
9.900689e+01    7.046518e-01
1.009088e+02    6.686761e-01
1.028248e+02    6.446864e-01
1.047654e+02    6.014298e-01
1.067368e+02    5.494032e-01
1.087299e+02    5.116772e-01
1.107373e+02    4.862263e-01
1.127456e+02    4.743735e-01
1.146894e+02    5.155615e-01
1.165254e+02    3.726891e-01
1.182741e+02    4.068246e-01
1.199643e+02    4.251556e-01
1.216107e+02    3.845236e-01
1.232182e+02    4.193589e-01
1.247976e+02    4.226264e-01
1.263583e+02    4.003226e-01
1.279002e+02    3.768208e-01
1.294201e+02    3.546906e-01
1.309247e+02    3.428230e-01
1.324344e+02    3.497577e-01
1.339776e+02    3.758800e-01
1.355800e+02    4.134863e-01
1.372562e+02    4.540600e-01
1.390072e+02    4.925728e-01
1.408222e+02    5.233481e-01
1.426838e+02    5.517294e-01
1.445742e+02    5.780372e-01
1.464799e+02    6.023198e-01
