# Variable   : vertical diffusion coef (Kz)
# Units      : m2/s
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    Kz [m2/s]
9.453063e-03    1.397394e-03
4.835103e-02    1.497254e-03
1.530462e-01    8.132814e-04
3.733526e-01    1.529270e-04
7.543377e-01    1.135111e-04
1.339602e+00    4.429808e-05
2.170168e+00    1.993325e-04
3.283600e+00    5.765206e-05
4.712794e+00    4.679638e-05
6.484789e+00    4.497337e-05
8.619615e+00    9.397219e-05
1.113009e+01    7.474986e-05
1.402108e+01    5.848720e-05
1.728685e+01    5.755089e-05
2.090608e+01    1.666040e-04
2.474833e+01    2.337026e-05
2.853675e+01    2.159032e-04
3.210126e+01    9.368552e-01
3.545018e+01    4.851913e-01
3.859743e+01    1.540241e-04
4.156841e+01    3.567383e-04
4.439502e+01    2.210058e-04
4.710001e+01    4.530424e-04
4.967126e+01    7.382630e-05
5.208324e+01    9.189470e-05
5.433362e+01    7.855806e-05
5.643067e+01    1.689465e-04
5.839917e+01    1.563939e-03
6.028508e+01    6.871162e-04
6.211965e+01    2.651863e-04
6.390838e+01    4.451079e-04
6.565220e+01    9.218212e-04
6.736221e+01    9.175727e-04
6.905500e+01    4.914519e-04
7.071644e+01    3.039773e-04
7.232953e+01    5.103235e-05
7.389331e+01    1.945140e-04
7.540461e+01    2.055665e-04
7.687348e+01    1.530505e-04
7.831750e+01    3.299375e-04
7.974356e+01    1.737042e-04
8.114591e+01    1.030665e-04
8.251665e+01    1.264125e-04
8.384731e+01    1.176133e-04
8.513078e+01    3.677321e-04
8.653203e+01    1.280598e-03
8.837267e+01    3.611368e-03
9.070715e+01    2.180269e-03
9.344974e+01    1.264825e-03
9.652660e+01    2.051627e-03
9.900689e+01    1.257382e-03
1.009088e+02    2.698639e+02
1.028248e+02    5.336071e-04
1.047654e+02    1.972945e-03
1.067368e+02    1.307206e-03
1.087299e+02    2.078227e-03
1.107373e+02    2.337826e-03
1.127456e+02    7.788237e-03
1.146894e+02    1.396090e-03
1.165254e+02    9.565519e-02
1.182741e+02    2.455995e-03
1.199643e+02    2.196209e-03
1.216107e+02    2.279939e-03
1.232182e+02    2.263816e-03
1.247976e+02    8.038489e-04
1.263583e+02    2.059394e-04
1.279002e+02    1.876434e-04
1.294201e+02    1.717255e-04
1.309247e+02    1.516410e-04
1.324344e+02    1.213050e-04
1.339776e+02    9.470351e-05
1.355800e+02    7.483624e-05
1.372562e+02    6.106609e-05
1.390072e+02    5.076778e-05
1.408222e+02    4.202136e-05
1.426838e+02    3.377876e-05
1.445742e+02    2.524837e-05
1.464799e+02    1.506024e-05
