# Variable   : Order 0 moment of the aerosols (m0_aer)
# Units      : m-3
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    m0_aer [m-3]
9.453063e-03    1.493057e-10
4.835103e-02    6.677643e-10
1.530462e-01    4.691910e-09
3.733526e-01    7.435215e-09
7.543377e-01    4.203281e-09
1.339602e+00    8.037516e-09
2.170168e+00    2.101244e-09
3.283600e+00    2.182850e-09
4.712794e+00    7.156002e-08
6.484789e+00    1.775114e-04
8.619615e+00    4.192992e-02
1.113009e+01    1.291072e-01
1.402108e+01    2.999797e+01
1.728685e+01    1.215905e+02
2.090608e+01    1.940161e+02
2.474833e+01    4.643593e+02
2.853675e+01    1.412860e+02
3.210126e+01    3.032938e+01
3.545018e+01    8.709273e+00
3.859743e+01    2.776718e+03
4.156841e+01    1.667280e+07
4.439502e+01    7.240928e+07
4.710001e+01    1.355860e+08
4.967126e+01    1.800580e+08
5.208324e+01    2.789964e+06
5.433362e+01    1.205842e+06
5.643067e+01    9.155244e+07
5.839917e+01    4.469240e+07
6.028508e+01    3.092098e+07
6.211965e+01    1.537298e+07
6.390838e+01    4.773590e+06
6.565220e+01    1.421540e+06
6.736221e+01    1.409483e+06
6.905500e+01    1.151163e+06
7.071644e+01    8.542096e+05
7.232953e+01    5.258412e+05
7.389331e+01    3.124148e+05
7.540461e+01    1.914203e+05
7.687348e+01    1.210687e+05
7.831750e+01    7.928548e+04
7.974356e+01    5.796675e+04
8.114591e+01    4.906602e+04
8.251665e+01    3.765346e+04
8.384731e+01    2.966702e+04
8.513078e+01    1.979911e+04
8.653203e+01    1.257399e+04
8.837267e+01    7.032403e+03
9.070715e+01    3.520850e+03
9.344974e+01    1.645989e+03
9.652660e+01    7.378686e+02
9.900689e+01    3.678216e+02
1.009088e+02    2.356897e+02
1.028248e+02    1.457467e+02
1.047654e+02    9.516895e+01
1.067368e+02    5.909661e+01
1.087299e+02    3.713943e+01
1.107373e+02    2.318895e+01
1.127456e+02    1.421252e+01
1.146894e+02    8.465513e+00
1.165254e+02    5.531767e+00
1.182741e+02    3.330163e+00
1.199643e+02    2.038317e+00
1.216107e+02    1.285368e+00
1.232182e+02    7.714116e-01
1.247976e+02    4.620172e-01
1.263583e+02    2.778279e-01
1.279002e+02    1.661333e-01
1.294201e+02    9.861383e-02
1.309247e+02    5.785772e-02
1.324344e+02    3.339815e-02
1.339776e+02    1.888496e-02
1.355800e+02    1.044304e-02
1.372562e+02    5.651635e-03
1.390072e+02    2.997002e-03
1.408222e+02    1.560160e-03
1.426838e+02    7.983484e-04
1.445742e+02    4.009523e-04
1.464799e+02    1.969090e-04
