# Variable   : Atmospheric pressure (pres)
# Units      : Pa
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    pres [Pa]
9.453063e-03    9.456208e+06
4.835103e-02    9.432849e+06
1.530462e-01    9.370234e+06
3.733526e-01    9.239658e+06
7.543377e-01    9.017516e+06
1.339602e+00    8.685082e+06
2.170168e+00    8.231060e+06
3.283600e+00    7.653738e+06
4.712794e+00    6.962608e+06
6.484789e+00    6.178702e+06
8.619615e+00    5.333376e+06
1.113009e+01    4.465122e+06
1.402108e+01    3.615162e+06
1.728685e+01    2.822382e+06
2.090608e+01    2.118361e+06
2.474833e+01    1.535975e+06
2.853675e+01    1.096831e+06
3.210126e+01    7.825196e+05
3.545018e+01    5.578227e+05
3.859743e+01    3.978292e+05
4.156841e+01    2.844421e+05
4.439502e+01    2.037867e+05
4.710001e+01    1.460194e+05
4.967126e+01    1.046275e+05
5.208324e+01    7.496891e+04
5.433362e+01    5.371759e+04
5.643067e+01    3.849034e+04
5.839917e+01    2.757954e+04
6.028508e+01    1.976162e+04
6.211965e+01    1.415982e+04
6.390838e+01    1.014596e+04
6.565220e+01    7.269898e+03
6.736221e+01    5.209112e+03
6.905500e+01    3.732492e+03
7.071644e+01    2.674448e+03
7.232953e+01    1.916326e+03
7.389331e+01    1.373107e+03
7.540461e+01    9.838741e+02
7.687348e+01    7.049765e+02
7.831750e+01    5.051376e+02
7.974356e+01    3.619469e+02
8.114591e+01    2.593462e+02
8.251665e+01    1.858297e+02
8.384731e+01    1.331528e+02
8.513078e+01    9.540810e+01
8.653203e+01    6.557461e+01
8.837267e+01    3.987946e+01
9.070715e+01    2.127845e+01
9.344974e+01    1.020233e+01
9.652660e+01    4.529178e+00
9.900689e+01    2.373159e+00
1.009088e+02    1.444100e+00
1.028248e+02    8.758907e-01
1.047654e+02    5.312546e-01
1.067368e+02    3.222222e-01
1.087299e+02    1.954376e-01
1.107373e+02    1.185389e-01
1.127456e+02    7.189749e-02
1.146894e+02    4.360803e-02
1.165254e+02    2.644961e-02
1.182741e+02    1.604250e-02
1.199643e+02    9.730267e-03
1.216107e+02    5.901705e-03
1.232182e+02    3.579565e-03
1.247976e+02    2.171116e-03
1.263583e+02    1.316848e-03
1.279002e+02    7.987089e-04
1.294201e+02    4.844415e-04
1.309247e+02    2.938286e-04
1.324344e+02    1.782161e-04
1.339776e+02    1.080935e-04
1.355800e+02    6.556202e-05
1.372562e+02    3.976538e-05
1.390072e+02    2.411892e-05
1.408222e+02    1.462886e-05
1.426838e+02    8.872855e-06
1.445742e+02    5.381659e-06
1.464799e+02    3.264141e-06
