# Variable   : Atmospheric density (rho)
# Units      : kg/m3
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    rho [kg/m3]
9.453063e-03    6.740466e+01
4.835103e-02    6.724234e+01
1.530462e-01    6.681727e+01
3.733526e-01    6.598764e+01
7.543377e-01    6.463809e+01
1.339602e+00    6.260146e+01
2.170168e+00    5.982011e+01
3.283600e+00    5.628765e+01
4.712794e+00    5.200043e+01
6.484789e+00    4.705724e+01
8.619615e+00    4.160989e+01
1.113009e+01    3.584624e+01
1.402108e+01    3.001777e+01
1.728685e+01    2.436795e+01
2.090608e+01    1.917939e+01
2.474833e+01    1.472169e+01
2.853675e+01    1.115987e+01
3.210126e+01    8.478300e+00
3.545018e+01    6.445991e+00
3.859743e+01    4.881050e+00
4.156841e+01    3.673222e+00
4.439502e+01    2.751119e+00
4.710001e+01    2.056895e+00
4.967126e+01    1.560524e+00
5.208324e+01    1.198561e+00
5.433362e+01    9.229640e-01
5.643067e+01    7.113563e-01
5.839917e+01    5.284767e-01
6.028508e+01    3.887389e-01
6.211965e+01    2.862489e-01
6.390838e+01    2.109189e-01
6.565220e+01    1.546026e-01
6.736221e+01    1.128341e-01
6.905500e+01    8.223781e-02
7.071644e+01    6.095290e-02
7.232953e+01    4.498182e-02
7.389331e+01    3.350776e-02
7.540461e+01    2.508269e-02
7.687348e+01    1.867682e-02
7.831750e+01    1.379173e-02
7.974356e+01    1.014913e-02
8.114591e+01    7.484949e-03
8.251665e+01    5.514694e-03
8.384731e+01    4.087335e-03
8.513078e+01    3.025682e-03
8.653203e+01    2.028961e-03
8.837267e+01    1.176134e-03
9.070715e+01    6.265105e-04
9.344974e+01    2.920531e-04
9.652660e+01    1.250030e-04
9.900689e+01    6.578413e-05
1.009088e+02    4.209207e-05
1.028248e+02    2.652270e-05
1.047654e+02    1.681105e-05
1.067368e+02    1.071867e-05
1.087299e+02    6.747232e-06
1.107373e+02    4.223583e-06
1.127456e+02    2.616605e-06
1.146894e+02    1.576715e-06
1.165254e+02    1.033414e-06
1.182741e+02    6.252425e-07
1.199643e+02    3.783029e-07
1.216107e+02    2.325583e-07
1.232182e+02    1.377733e-07
1.247976e+02    8.235307e-08
1.263583e+02    4.949914e-08
1.279002e+02    2.958887e-08
1.294201e+02    1.756194e-08
1.309247e+02    1.030342e-08
1.324344e+02    5.947655e-09
1.339776e+02    3.366038e-09
1.355800e+02    1.864601e-09
1.372562e+02    1.010872e-09
1.390072e+02    5.368025e-10
1.408222e+02    2.796273e-10
1.426838e+02    1.431111e-10
1.445742e+02    7.187681e-11
1.464799e+02    3.529926e-11
