# Variable   : Density of droplets (rhotab)
# Units      : kg/m3
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    rhotab [kg/m3]
9.453063e-03    1.900000e+03
4.835103e-02    1.900000e+03
1.530462e-01    1.900000e+03
3.733526e-01    1.900000e+03
7.543377e-01    1.900000e+03
1.339602e+00    1.900000e+03
2.170168e+00    1.900000e+03
3.283600e+00    1.900000e+03
4.712794e+00    1.900000e+03
6.484789e+00    1.900000e+03
8.619615e+00    1.900000e+03
1.113009e+01    1.900000e+03
1.402108e+01    1.900000e+03
1.728685e+01    1.900000e+03
2.090608e+01    1.900000e+03
2.474833e+01    1.900000e+03
2.853675e+01    1.900000e+03
3.210126e+01    1.900000e+03
3.545018e+01    1.900000e+03
3.859743e+01    1.900000e+03
4.156841e+01    1.900000e+03
4.439502e+01    1.759892e+03
4.710001e+01    1.772963e+03
4.967126e+01    1.789434e+03
5.208324e+01    1.811328e+03
5.433362e+01    1.818424e+03
5.643067e+01    1.807100e+03
5.839917e+01    1.802653e+03
6.028508e+01    1.801365e+03
6.211965e+01    1.808210e+03
6.390838e+01    1.804294e+03
6.565220e+01    1.802000e+03
6.736221e+01    1.800505e+03
6.905500e+01    1.801546e+03
7.071644e+01    1.790526e+03
7.232953e+01    1.779693e+03
7.389331e+01    1.757730e+03
7.540461e+01    1.723690e+03
7.687348e+01    1.686489e+03
7.831750e+01    1.654257e+03
7.974356e+01    1.623208e+03
8.114591e+01    1.583663e+03
8.251665e+01    1.541177e+03
8.384731e+01    1.471573e+03
8.513078e+01    1.388133e+03
8.653203e+01    1.515325e+03
8.837267e+01    1.672991e+03
9.070715e+01    1.714941e+03
9.344974e+01    1.787036e+03
9.652660e+01    1.846829e+03
9.900689e+01    1.861508e+03
1.009088e+02    1.840751e+03
1.028248e+02    1.825734e+03
1.047654e+02    1.789938e+03
1.067368e+02    1.741372e+03
1.087299e+02    1.703615e+03
1.107373e+02    1.678351e+03
1.127456e+02    1.667442e+03
1.146894e+02    1.716274e+03
1.165254e+02    1.554910e+03
1.182741e+02    1.596202e+03
1.199643e+02    1.618971e+03
1.216107e+02    1.572901e+03
1.232182e+02    1.614085e+03
1.247976e+02    1.618591e+03
1.263583e+02    1.593285e+03
1.279002e+02    1.566658e+03
1.294201e+02    1.541737e+03
1.309247e+02    1.528709e+03
1.324344e+02    1.537341e+03
1.339776e+02    1.568246e+03
1.355800e+02    1.612901e+03
1.372562e+02    1.661401e+03
1.390072e+02    1.707333e+03
1.408222e+02    1.743432e+03
1.426838e+02    1.776161e+03
1.445742e+02    1.805867e+03
1.464799e+02    1.832683e+03
