# Variable   : Atmospheric temperature (temp)
# Units      : K
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    temp [K]
9.453063e-03    7.330213e+02
4.835103e-02    7.329756e+02
1.530462e-01    7.327422e+02
3.733526e-01    7.316152e+02
7.543377e-01    7.289333e+02
1.339602e+00    7.249015e+02
2.170168e+00    7.189490e+02
3.283600e+00    7.104770e+02
4.712794e+00    6.996075e+02
6.484789e+00    6.860571e+02
8.619615e+00    6.697227e+02
1.113009e+01    6.508472e+02
1.402108e+01    6.292722e+02
1.728685e+01    6.051815e+02
2.090608e+01    5.771038e+02
2.474833e+01    5.451491e+02
2.853675e+01    5.135338e+02
3.210126e+01    4.822529e+02
3.545018e+01    4.521627e+02
3.859743e+01    4.258645e+02
4.156841e+01    4.046083e+02
4.439502e+01    3.870386e+02
4.710001e+01    3.709130e+02
4.967126e+01    3.503018e+02
5.208324e+01    3.268017e+02
5.433362e+01    3.040838e+02
5.643067e+01    2.826998e+02
5.839917e+01    2.726604e+02
6.028508e+01    2.655984e+02
6.211965e+01    2.584491e+02
6.390838e+01    2.513270e+02
6.565220e+01    2.456820e+02
6.736221e+01    2.412043e+02
6.905500e+01    2.371315e+02
7.071644e+01    2.292457e+02
7.232953e+01    2.225836e+02
7.389331e+01    2.141013e+02
7.540461e+01    2.049392e+02
7.687348e+01    1.972109e+02
7.831750e+01    1.913593e+02
7.974356e+01    1.863263e+02
8.114591e+01    1.810291e+02
8.251665e+01    1.760557e+02
8.384731e+01    1.702024e+02
8.513078e+01    1.647468e+02
8.653203e+01    1.688535e+02
8.837267e+01    1.771288e+02
9.070715e+01    1.774054e+02
9.344974e+01    1.824581e+02
9.652660e+01    1.892313e+02
9.900689e+01    1.883581e+02
1.009088e+02    1.791108e+02
1.028248e+02    1.723631e+02
1.047654e+02    1.649511e+02
1.067368e+02    1.568757e+02
1.087299e+02    1.511060e+02
1.107373e+02    1.462067e+02
1.127456e+02    1.429929e+02
1.146894e+02    1.436860e+02
1.165254e+02    1.327779e+02
1.182741e+02    1.325191e+02
1.199643e+02    1.318463e+02
1.216107e+02    1.285314e+02
1.232182e+02    1.294933e+02
1.247976e+02    1.288038e+02
1.263583e+02    1.268665e+02
1.279002e+02    1.250064e+02
1.294201e+02    1.232886e+02
1.309247e+02    1.220248e+02
1.324344e+02    1.215072e+02
1.339776e+02    1.218356e+02
1.355800e+02    1.228720e+02
1.372562e+02    1.243137e+02
1.390072e+02    1.258372e+02
1.408222e+02    1.271996e+02
1.426838e+02    1.282726e+02
1.445742e+02    1.290167e+02
1.464799e+02    1.294090e+02
