# Variable   : Vertical wind (m/s) (vitwz)
# Units      : m/s
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    vitwz [m/s]
9.453063e-03    -8.512943e-06
4.835103e-02    -2.673238e-05
1.530462e-01    -5.223052e-05
3.733526e-01    -1.223616e-04
7.543377e-01    -3.525595e-04
1.339602e+00    -6.351282e-04
2.170168e+00    -7.754457e-04
3.283600e+00    -1.005428e-03
4.712794e+00    -1.438240e-03
6.484789e+00    -1.988843e-03
8.619615e+00    -2.145643e-03
1.113009e+01    -2.115598e-03
1.402108e+01    -2.749677e-03
1.728685e+01    -3.321134e-03
2.090608e+01    -3.423950e-03
2.474833e+01    -3.595685e-03
2.853675e+01    -2.033707e-03
3.210126e+01    5.690308e-04
3.545018e+01    1.436113e-04
3.859743e+01    -3.261249e-03
4.156841e+01    -7.774642e-03
4.439502e+01    -8.421645e-03
4.710001e+01    -9.342762e-04
4.967126e+01    1.004544e-02
5.208324e+01    1.112257e-02
5.433362e+01    2.838187e-03
5.643067e+01    -1.142029e-03
5.839917e+01    3.683501e-03
6.028508e+01    8.165238e-03
6.211965e+01    7.934107e-03
6.390838e+01    1.740553e-03
6.565220e+01    -7.585420e-03
6.736221e+01    -1.199257e-02
6.905500e+01    -1.224654e-02
7.071644e+01    -9.209896e-03
7.232953e+01    -5.308101e-03
7.389331e+01    -2.528589e-03
7.540461e+01    -1.813134e-03
7.687348e+01    -2.641146e-03
7.831750e+01    -5.059817e-03
7.974356e+01    -8.453242e-03
8.114591e+01    -1.166871e-02
8.251665e+01    -1.455524e-02
8.384731e+01    -1.604582e-02
8.513078e+01    -1.761619e-02
8.653203e+01    -2.188519e-02
8.837267e+01    -2.083242e-02
9.070715e+01    -1.508511e-02
9.344974e+01    -3.541955e-02
9.652660e+01    -6.471305e-02
9.900689e+01    -6.518203e-02
1.009088e+02    -6.258320e-02
1.028248e+02    -5.998260e-02
1.047654e+02    -2.563132e-02
1.067368e+02    3.536689e-02
1.087299e+02    3.095307e-02
1.107373e+02    -1.855518e-02
1.127456e+02    -6.942172e-02
1.146894e+02    -7.944181e-02
1.165254e+02    -6.516302e-02
1.182741e+02    -8.076764e-02
1.199643e+02    -1.208101e-01
1.216107e+02    -1.591512e-01
1.232182e+02    -1.918596e-01
1.247976e+02    -2.070411e-01
1.263583e+02    -2.086967e-01
1.279002e+02    -2.013675e-01
1.294201e+02    -1.893454e-01
1.309247e+02    -1.758199e-01
1.324344e+02    -1.631079e-01
1.339776e+02    -1.525587e-01
1.355800e+02    -1.448138e-01
1.372562e+02    -1.402146e-01
1.390072e+02    -1.391984e-01
1.408222e+02    -1.426825e-01
1.426838e+02    -1.525045e-01
1.445742e+02    -1.722622e-01
1.464799e+02    -1.291767e-01
