# z[m]  mass[kg]  radius[m]  G[-]  rho_org[kg/m3]  age[days]  skin_width[m]
  6.83309351E+04   1.05000000E-12   5.75371798E-06   1.23665212E-01   1.31849079E+03   2.50000000E-01   5.04218323E-06
  8.84557494E+04   1.05000000E-12   6.97627311E-06   3.45438861E-01   7.70036909E+02   2.50000000E-01   4.56639727E-06
  5.98574208E+04   1.05000000E-12   8.35080600E-06   5.60369351E-01   5.22359106E+02   2.50000000E-01   3.67127026E-06
  2.43217268E+04   1.05000000E-12   6.46342562E-06   1.00964920E-01   9.29307925E+02   2.50000000E-01   5.81084637E-06
  6.81605829E+04   1.05000000E-12   6.36788391E-06   3.96913342E-01   1.03551837E+03   2.50000000E-01   3.84038582E-06
  4.91293796E+04   1.05000000E-12   7.51810720E-06   6.76294873E-01   8.54079689E+02   2.50000000E-01   2.43364985E-06
  5.31947162E+04   1.05000000E-12   9.37495854E-06   9.21493887E-01   1.39864752E+03   2.50000000E-01   7.35991559E-07
  7.23825078E+04   1.05000000E-12   7.88519986E-06   4.01495158E-01   5.46664780E+02   2.50000000E-01   4.71933029E-06
  9.28971575E+04   1.05000000E-12   5.60076448E-06   9.62798772E-02   1.42806027E+03   2.50000000E-01   5.06152357E-06
  8.70506266E+04   1.05000000E-12   6.06922943E-06   1.24367000E-01   1.12340471E+03   2.50000000E-01   5.31441758E-06
  6.10043127E+04   1.05000000E-12   6.03296675E-06   3.05282463E-02   1.14161654E+03   2.50000000E-01   5.84879085E-06
  2.29926829E+04   1.05000000E-12   6.98127198E-06   7.68464853E-01   1.34881250E+03   2.50000000E-01   1.61640983E-06
  9.68752883E+04   1.05000000E-12   6.45546836E-06   5.56462833E-01   1.12576903E+03   2.50000000E-01   2.86324015E-06
  8.47376135E+04   1.05000000E-12   6.15101068E-06   5.78218167E-01   1.33524074E+03   2.50000000E-01   2.59438456E-06
  9.92154338E+04   1.05000000E-12   7.03847849E-06   5.45701994E-01   8.58384927E+02   2.50000000E-01   3.19756675E-06
  5.85851342E+04   1.05000000E-12   1.06542477E-05   9.49457495E-01   1.43843241E+03   2.50000000E-01   5.38492368E-07
  3.11645678E+04   1.05000000E-12   5.97122949E-06   2.75600871E-01   1.20253357E+03   2.50000000E-01   4.32555345E-06
  8.70605747E+04   1.05000000E-12   6.57548210E-06   1.33784603E-01   8.83810310E+02   2.50000000E-01   5.69578384E-06
  2.88198982E+04   1.05000000E-12   8.83120320E-06   6.75963530E-01   5.26597339E+02   2.50000000E-01   2.86163191E-06
  4.59547506E+04   1.05000000E-12   5.88509940E-06   4.39961012E-01   1.34429561E+03   2.50000000E-01   3.29588511E-06
  4.71334948E+04   1.05000000E-12   6.72805796E-06   5.52366037E-01   9.89887131E+02   2.50000000E-01   3.01170725E-06
  9.80543226E+04   1.05000000E-12   8.25811793E-06   6.85983049E-01   6.57269770E+02   2.50000000E-01   2.59318901E-06
  3.16271745E+04   1.05000000E-12   7.73509409E-06   4.25049738E-01   5.86684481E+02   2.50000000E-01   4.44729438E-06
  2.82551238E+04   1.05000000E-12   6.06443719E-06   4.68436510E-01   1.25266583E+03   2.50000000E-01   3.22363340E-06
  7.97532225E+04   1.05000000E-12   8.03729061E-06   5.78861925E-01   5.98988047E+02   2.50000000E-01   3.38480909E-06
  9.62076565E+04   1.05000000E-12   7.54949611E-06   4.00217542E-01   6.22471429E+02   2.50000000E-01   4.52805534E-06
  7.68311574E+04   1.05000000E-12   1.16711433E-05   9.51460645E-01   1.13709323E+03   2.50000000E-01   5.66509763E-07
  2.31868648E+04   1.05000000E-12   7.89980639E-06   7.72434640E-01   9.43112818E+02   2.50000000E-01   1.79772229E-06
  9.42006773E+04   1.05000000E-12   1.83145726E-05   9.87075647E-01   1.06611813E+03   2.50000000E-01   2.36704001E-07
  3.74685360E+04   1.05000000E-12   7.24128745E-06   8.14877213E-01   1.43858018E+03   2.50000000E-01   1.34052732E-06
  2.45363518E+04   1.05000000E-12   8.04341541E-06   7.71453039E-01   8.90594887E+02   2.50000000E-01   1.83829815E-06
  5.92045806E+04   1.05000000E-12   7.43127131E-06   6.49828760E-01   8.41819262E+02   2.50000000E-01   2.60221749E-06
  2.07953282E+04   1.05000000E-12   7.06634824E-06   7.98672529E-01   1.44822872E+03   2.50000000E-01   1.42265002E-06
  3.97599747E+04   1.05000000E-12   6.83122799E-06   5.53577686E-01   9.46977049E+02   2.50000000E-01   3.04961261E-06
  3.08480502E+04   1.05000000E-12   6.04444696E-06   3.04467501E-01   1.16805941E+03   2.50000000E-01   4.20410930E-06
  8.16183938E+04   1.05000000E-12   7.32159741E-06   7.85017810E-01   1.23719893E+03   2.50000000E-01   1.57401305E-06
  7.53729669E+04   1.05000000E-12   9.19819154E-06   9.22254269E-01   1.49416005E+03   2.50000000E-01   7.15120121E-07
  5.37675133E+04   1.05000000E-12   6.34098468E-06   3.29801756E-01   1.01975538E+03   2.50000000E-01   4.24971679E-06
  7.89537660E+04   1.05000000E-12   1.05817807E-05   9.37615289E-01   1.20392614E+03   2.50000000E-01   6.60141330E-07
  8.43833727E+04   1.05000000E-12   7.95120954E-06   8.46353317E-01   1.26644311E+03   2.50000000E-01   1.22167697E-06
  9.12855879E+04   1.05000000E-12   6.28849420E-06   3.59397430E-01   1.05707189E+03   2.50000000E-01   4.02842554E-06
  9.40797585E+04   1.05000000E-12   8.17653345E-06   4.96722214E-01   5.22606117E+02   2.50000000E-01   4.11506766E-06
  6.70819933E+04   1.05000000E-12   6.57902429E-06   3.74262417E-01   9.28970847E+02   2.50000000E-01   4.11674276E-06
  8.81920082E+04   1.05000000E-12   6.21713903E-06   4.07011403E-01   1.11852345E+03   2.50000000E-01   3.68669255E-06
  5.63652213E+04   1.05000000E-12   6.44070001E-06   5.24746543E-01   1.09667574E+03   2.50000000E-01   3.06096495E-06
  7.50647059E+04   1.05000000E-12   6.62856223E-06   1.71786795E-01   8.65067412E+02   2.50000000E-01   5.48986277E-06
  4.22128724E+04   1.05000000E-12   5.82296711E-06   2.11600584E-01   1.28174598E+03   2.50000000E-01   4.59082386E-06
  1.02328944E+05   1.05000000E-12   6.62698507E-06   5.95448578E-01   1.09179897E+03   2.50000000E-01   2.68095623E-06
  9.35493841E+04   1.05000000E-12   5.81242043E-06   5.19661432E-01   1.48490832E+03   2.50000000E-01   2.79192971E-06
  3.71529842E+04   1.05000000E-12   6.34065867E-06   5.06249981E-01   1.12993041E+03   2.50000000E-01   3.13070034E-06
  6.59541331E+04   1.05000000E-12   6.86869501E-06   7.61578025E-01   1.38555214E+03   2.50000000E-01   1.63764783E-06
  1.01446011E+05   1.05000000E-12   7.41193287E-06   7.47300792E-01   1.05654601E+03   2.50000000E-01   1.87298956E-06
  4.31128471E+04   1.05000000E-12   6.26213582E-06   6.16843614E-01   1.33384464E+03   2.50000000E-01   2.39937733E-06
  4.48172842E+04   1.05000000E-12   1.21156828E-05   9.14819520E-01   6.01330985E+02   2.50000000E-01   1.03201968E-06
  2.78509845E+04   1.05000000E-12   7.77004669E-06   7.18964902E-01   8.50396839E+02   2.50000000E-01   2.18365584E-06
  4.18145881E+04   1.05000000E-12   6.84665572E-06   6.04434233E-01   1.00237426E+03   2.50000000E-01   2.70830262E-06
  3.87765403E+04   1.05000000E-12   1.25543863E-05   9.17277330E-01   5.55122893E+02   2.50000000E-01   1.03853236E-06
  5.20470646E+04   1.05000000E-12   7.75056893E-06   3.00582655E-01   5.53423326E+02   2.50000000E-01   5.42088234E-06
  2.84618167E+04   1.05000000E-12   7.25855170E-06   8.23051183E-01   1.48143439E+03   2.50000000E-01   1.28439213E-06
  6.48870088E+04   1.05000000E-12   5.65729364E-06   8.05877802E-02   1.38516619E+03   2.50000000E-01   5.20138490E-06
